,total_loss,reconstruction_loss,proj_loss,pca_loss,accuracy,auc score,f1 score
0,32551.67578125,11839.2041015625,12430.513671875,8281.9580078125,0.7571385632702134,0.699772952117135,0.495
1,31504.39453125,10898.7490234375,12353.271484375,8252.3759765625,0.7439134355275022,0.6890176098140088,0.4675
2,30902.97265625,10404.2197265625,12275.8310546875,8222.9208984375,0.7162608957018335,0.6587242777997626,0.41
3,30487.69921875,10095.5634765625,12198.4501953125,8193.685546875,0.6765855124737,0.6191932132963989,0.3275
4,30148.88671875,9862.9580078125,12121.25,8164.67919921875,0.6339044183949504,0.571398891966759,0.23875
5,29862.3515625,9682.1611328125,12044.3056640625,8135.8857421875,0.6110610159302675,0.5271208448753463,0.19125
6,29608.9921875,9534.03125,11967.671875,8107.28857421875,0.6038473098887887,0.4911478531855956,0.17625
7,29376.859375,9406.6044921875,11891.38671875,8078.86767578125,0.5966336038473099,0.4630371982588049,0.16125
8,29154.5390625,9288.4453125,11815.484375,8050.60888671875,0.591824466486324,0.4398362683023348,0.15125
9,28929.283203125,9166.7958984375,11739.9814453125,8022.50634765625,0.5882176134655847,0.4205965571824297,0.14375
10,28724.6484375,9065.1962890625,11664.8876953125,7994.5634765625,0.5870153291253382,0.40618050059358923,0.14125
11,28534.603515625,8977.607421875,11590.21484375,7966.78076171875,0.584009618274722,0.39712900672734464,0.135
12,28340.7890625,8885.66015625,11515.9765625,7939.15234375,0.5864141869552149,0.39112534626038786,0.14
13,28157.16015625,8803.302734375,11442.1884765625,7911.6669921875,0.5858130447850917,0.3838083696082311,0.13875
14,27983.9921875,8730.8125,11368.8681640625,7884.3125,0.5888187556357078,0.38074099722991683,0.145
15,27808.224609375,8655.119140625,11296.0234375,7857.08203125,0.5858130447850917,0.3720251286110012,0.13875
16,27633.908203125,8580.275390625,11223.66015625,7829.97314453125,0.5852119026149685,0.3652473288484369,0.1375
17,27463.75,8508.98046875,11151.783203125,7802.98681640625,0.5846107604448452,0.3581769390581718,0.13625
18,27294.134765625,8437.6171875,11080.390625,7776.126953125,0.5864141869552149,0.34995696478037197,0.14
19,27125.0390625,8366.154296875,11009.486328125,7749.3984375,0.5858130447850917,0.3437341709537,0.13875
20,26964.35546875,8302.482421875,10939.0673828125,7722.8056640625,0.5864141869552149,0.3387762168579343,0.14
21,26798.62109375,8233.1318359375,10869.1357421875,7696.35302734375,0.5864141869552149,0.3352245745943807,0.14
22,26634.35546875,8164.62548828125,10799.6923828125,7670.03759765625,0.5876164712954614,0.33233132172536606,0.1425
23,26477.96484375,8103.369140625,10730.7421875,7643.85400390625,0.5870153291253382,0.33118421052631575,0.14125
24,26319.125,8039.03955078125,10662.2900390625,7617.794921875,0.5876164712954614,0.3294979224376731,0.1425
25,26163.89453125,7977.7001953125,10594.3408203125,7591.8544921875,0.5876164712954614,0.3291348436881678,0.1425
26,26009.16015625,7916.23583984375,10526.896484375,7566.02734375,0.5846107604448452,0.3264780371982588,0.13625
27,25854.34375,7854.07275390625,10459.9580078125,7540.31201171875,0.5852119026149685,0.3245948753462604,0.1375
28,25707.8984375,7799.66455078125,10393.5224609375,7514.71044921875,0.5864141869552149,0.32293480411555203,0.14
29,25557.458984375,7740.6455078125,10327.5888671875,7489.22412109375,0.5858130447850917,0.3212683023347844,0.13875
30,25409.447265625,7683.4384765625,10262.15625,7463.85302734375,0.5834084761045988,0.3191679857538583,0.13375
31,25261.0,7625.17919921875,10197.2216796875,7438.6005859375,0.5846107604448452,0.31872675108824694,0.13625
32,25115.458984375,7569.21337890625,10132.7822265625,7413.46337890625,0.5858130447850917,0.3172605856747131,0.13875
33,24973.619140625,7516.33984375,10068.837890625,7388.44140625,0.5846107604448452,0.3149067570241393,0.13625
34,24829.392578125,7460.46923828125,10005.388671875,7363.53466796875,0.5858130447850917,0.31424366838148,0.13875
35,24687.4921875,7406.318359375,9942.4326171875,7338.7412109375,0.5834084761045988,0.3126335575781559,0.13375
36,24545.09375,7351.0625,9879.9677734375,7314.06201171875,0.584009618274722,0.3117698852394143,0.135
37,24408.6640625,7301.17529296875,9817.9912109375,7289.498046875,0.5846107604448452,0.3121240601503759,0.13625
38,24265.3984375,7243.8486328125,9756.501953125,7265.0458984375,0.5834084761045988,0.3091818361693708,0.13375
39,24131.40625,7195.1982421875,9695.49609375,7240.7099609375,0.5864141869552149,0.30969726948951326,0.14
40,23990.625,7139.16455078125,9634.9716796875,7216.4892578125,0.5834084761045988,0.30892585081123863,0.13375
41,23858.724609375,7091.41455078125,9574.9267578125,7192.38232421875,0.5858130447850917,0.30904184804115553,0.13875
42,23721.453125,7037.7060546875,9515.35546875,7168.390625,0.5858130447850917,0.30793628808864265,0.13875
43,23588.30859375,6987.5361328125,9456.2578125,7144.51513671875,0.5870153291253382,0.30673179659675504,0.14125
44,23451.8359375,6933.45068359375,9397.6318359375,7120.75439453125,0.5846107604448452,0.30526612584091806,0.13625
45,23319.84375,6883.26171875,9339.47265625,7097.1083984375,0.5870153291253382,0.30561584883260784,0.14125
46,23190.494140625,6835.13427734375,9281.78125,7073.578125,0.5846107604448452,0.3058819746735259,0.13625
47,23056.017578125,6781.30078125,9224.552734375,7050.16357421875,0.584009618274722,0.3032870003957262,0.135
48,22918.505859375,6723.8583984375,9167.7822265625,7026.865234375,0.5828073339344755,0.3022041946972695,0.1325
49,22789.96484375,6674.81005859375,9111.46875,7003.68505859375,0.5828073339344755,0.30105065294815986,0.1325
50,22659.55078125,6623.32177734375,9055.6083984375,6980.6220703125,0.584009618274722,0.3016852987732489,0.135
51,22528.30078125,6570.42041015625,9000.2001953125,6957.6806640625,0.5852119026149685,0.3015344281757024,0.1375
52,22393.9921875,6513.89306640625,8945.2421875,6934.85693359375,0.584009618274722,0.3005391768895924,0.135
53,22261.5234375,6458.64013671875,8890.73046875,6912.1533203125,0.5828073339344755,0.3001296003165809,0.1325
54,22133.953125,6407.720703125,8836.662109375,6889.5712890625,0.5852119026149685,0.30025672734467745,0.1375
55,22001.685546875,6351.53955078125,8783.0322265625,6867.11328125,0.5846107604448452,0.2993856351404828,0.13625
56,21872.716796875,6298.09814453125,8729.8408203125,6844.77783203125,0.581605049594229,0.29841412742382273,0.13
57,21736.51953125,6236.8701171875,8677.0830078125,6822.56689453125,0.581605049594229,0.2987371388998813,0.13
58,21604.517578125,6179.2763671875,8624.759765625,6800.4814453125,0.5852119026149685,0.29803917688959236,0.1375
59,21478.78125,6127.384765625,8572.8720703125,6778.5244140625,0.5828073339344755,0.29682380292837357,0.1325
60,21344.048828125,6065.93701171875,8521.4169921875,6756.69482421875,0.5822061917643523,0.29514246141669964,0.13125
61,21206.98828125,6001.6015625,8470.3935546875,6734.9931640625,0.581605049594229,0.2941313810842897,0.13
62,21072.912109375,5939.6923828125,8419.796875,6713.42236328125,0.5810039074241058,0.2934067075583696,0.12875
